"Date(UTC)","UnixTimeStamp","Value (Wei)"
"5/17/2022","1652745600","92929408892"
"5/18/2022","1652832000","134166228356"
"5/19/2022","1652918400","98355436246"
"5/20/2022","1653004800","90157546672"
"5/21/2022","1653091200","75902225309"
"5/22/2022","1653177600","79066879035"
"5/23/2022","1653264000","430075598918"
"5/24/2022","1653350400","87594449063"
"5/25/2022","1653436800","90231271076"
"5/26/2022","1653523200","152917401497"
"5/27/2022","1653609600","137740055483"
"5/28/2022","1653696000","86869624894"
"5/29/2022","1653782400","75023149442"
"5/30/2022","1653868800","106436601248"
"5/31/2022","1653955200","108574881586"
"6/1/2022","1654041600","105144100514"
